2021-02-24 12:53:34.130 [main] INFO  com.gdut.fundraising.FundraisingApplication - Starting FundraisingApplication on DESKTOP-0LLU013 with PID 16560 (D:\GIT_RES\java管理系统\fundraising\target\classes started by Lenovo in D:\GIT_RES\java管理系统\fundraising)
2021-02-24 12:53:34.164 [main] INFO  com.gdut.fundraising.FundraisingApplication - The following profiles are active: dev
2021-02-24 12:53:36.766 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2021-02-24 12:53:36.777 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2021-02-24 12:53:36.778 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-02-24 12:53:36.779 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-02-24 12:53:37.034 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/fundraising] - Initializing Spring embedded WebApplicationContext
2021-02-24 12:53:37.034 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2734 ms
2021-02-24 12:53:37.819 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-02-24 12:53:38.147 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2021-02-24 12:53:38.172 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path '/fundraising'
2021-02-24 12:53:38.181 [main] INFO  com.gdut.fundraising.FundraisingApplication - Started FundraisingApplication in 4.72 seconds (JVM running for 5.311)
